edu_code,current_year,class_10,class_12,cgpa,income,gender_code,category_code,is_obc_ncl,is_ews,state_code,has_income_cert,has_cat_cert,has_dom_cert,has_disability,disability_pct,is_minority,is_first_grad,is_single_girl,is_orphan,is_single_parent,is_ward_defense,is_farmer,sch_type_code,sch_max_income,sch_min_cgpa,sch_min_marks,sch_target_cat_code,sch_target_gender_code,sch_state_code,is_eligible,match_tier
4,1,58.804869913575864,86.32362301445677,7.924565773937786,177997.99326544022,1,2,0,0,3,0,1,1,0,0.0,0,1,0,0,0,0,0,2,150000.0,0.0,50.0,0,0,3,0,0
4,3,97.19508251872583,69.73843334214294,9.213707993007972,406039.9401575634,1,5,0,1,14,1,1,0,0,0.0,0,1,0,0,1,0,0,2,250000.0,6.0,60.0,0,2,14,0,0
5,2,68.96721132808709,94.11291988707109,8.563632779696462,215635.51795243195,2,5,0,1,21,1,1,1,0,0.0,0,0,1,0,0,0,0,1,150000.0,7.5,70.0,4,0,21,0,0
4,1,93.91806442610148,90.05204462285937,7.202308303277197,99665.46017586131,2,3,0,0,12,1,1,1,0,0.0,0,0,0,0,0,0,0,1,150000.0,0.0,60.0,0,0,0,1,3
4,1,75.91237238248031,55.762244910942776,9.619982495734106,425582.79464317637,2,2,1,0,21,1,1,1,0,0.0,0,0,0,0,0,0,0,3,800000.0,0.0,60.0,0,0,21,0,0
4,3,58.07797002430067,56.594503637372725,7.734699809884972,175191.37976871853,1,1,0,0,7,1,0,1,0,0.0,1,0,0,0,0,0,0,1,150000.0,6.0,80.0,0,0,0,0,0
4,3,88.55070830623501,69.92593362564004,9.818773390384731,235314.5498575507,2,1,0,0,6,1,0,1,0,0.0,0,0,0,0,0,0,0,2,800000.0,7.0,70.0,0,0,6,0,0
5,3,81.6792342096406,88.31277661066443,7.720483976837365,189348.18327203614,1,4,0,0,5,1,1,1,0,0.0,0,0,0,0,0,0,0,2,600000.0,7.0,50.0,1,2,5,0,0
4,2,76.33922188959613,81.67044547771275,8.194610171562744,126974.33770780287,1,2,1,0,8,1,1,1,0,0.0,0,0,0,0,0,0,0,2,600000.0,6.0,60.0,0,0,8,1,3
5,3,77.45620156204079,85.73336275823438,5.213658481596726,2007595.5611192754,1,4,0,0,9,0,1,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,6.0,70.0,1,0,9,0,0
4,3,97.52258480500464,52.42445280753577,7.53981529658231,729261.4894203363,2,3,0,0,16,1,1,1,0,0.0,0,1,1,0,0,0,0,1,800000.0,0.0,60.0,0,0,0,0,0
4,2,63.753980102157655,76.31416281015757,5.149451224701342,135808.04485277267,1,1,0,0,1,1,0,1,0,0.0,0,0,0,0,0,0,1,1,9999999.0,7.0,0.0,0,0,0,0,0
4,2,96.2071239045404,89.30694638714691,8.41027360985912,183863.54560566766,1,1,0,0,22,1,0,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,0.0,0.0,0,0,0,1,3
5,4,50.82373288792401,85.45831441920728,8.95387358754882,207173.90503516892,2,1,0,0,22,1,0,0,0,0.0,0,0,0,0,0,0,0,1,450000.0,8.0,60.0,0,0,0,1,3
4,1,80.0451041648755,88.48262271987721,8.192275382103162,91916.8901856907,1,2,0,0,18,1,0,1,0,0.0,1,0,0,0,0,0,0,3,600000.0,7.5,50.0,0,0,0,1,3
3,4,56.12910701227835,58.250871808453546,0.0,439369.32857677777,2,1,0,0,23,1,0,1,0,0.0,0,0,0,0,0,0,1,3,150000.0,6.0,80.0,6,0,0,0,0
4,3,78.91716444325371,74.34626177432744,6.042366685618722,1232503.684037696,1,5,0,0,7,0,1,0,0,0.0,0,0,0,0,0,0,0,3,250000.0,0.0,50.0,2,0,0,0,0
4,4,67.96499819629378,64.64403379454522,8.982717879561763,1248880.0851058296,2,2,0,0,19,0,1,1,0,0.0,0,1,0,1,0,0,1,1,450000.0,7.0,60.0,6,0,0,0,0
